Item,Qty,Part Number,Material
27,4,M5 Cap Screw(4),Stainless Steel
26,2,Restraining arc,Aluminium
25,1,Supporting structure,Aluminium
24,1,FOD Screen & Starter Motor,Aluminium
23,1,Inlet,Aluminium
22,1,Hall Pickup Sensor,Stainless Steel
21,1,T_Shape Tee and Elbow Festo Fittings,Stainless Steel/HDPE
20,3,L_Shape Tee and Elbow Festo Fittings,Stainless Steel/HDPE
19,1,Exhaust Cone,Stainless Steel (310)
18,8,M3x8 Cap Head Screw(8),Stainess Steel
17,8,Spring Washer(8),Spring Steel
16,6,M2.5x6 Cap Screw(6),Stainless Steel
15,1,Case,Aluminium
14,1,NGV (Nozzle Guide Vane),Stainless Steel (AN5C)
13,1,Combustion Chamber with fuel ring fitted,Inconel/Brass
12,5,M2.5x8 Cap Screw(5),Stainless Steel
11,1,Compressor Nut,Stainless Steel
10,1,Case Front,Aluminium
9,1,Centrifugal Compressor,Stainess Steel
8,1,Front Spacer,Stainless Steel
7,1,Turbine Shaft Assembly,Inconel 713LC & S.Steel EN24T
6,6,T10 Countersunk Torx Screws(6),Stainless Steel
5,1,Front Bearing,Ceramic Ball & S.Steel Races
4,2,Small O-ring,Rubber
3,1,Shaft Tunnel,Stainless Steel
2,1,Lubrication Feed Pipe,Stainless Steel
1,1,Diffuser,Aluminium
Item,Qty,Part Number,Material
